id,title,date,article_url,place_of_accident,district,number_of_deaths,number_of_injured,vehicle_type,cause_of_accident,country,report_type,type_of_accident
6,"Road accident in Cox’s Bazar leaves 3 dead, 7 injured",2025-06-16 11:43:58,https://en.prothomalo.com/bangladesh/accident/3q4jf6sork,chattogram-cox’s bazar highway in ramu upazila,cox’s bazar,3,7,passenger bus and a covered van,head-on collision,Bangladesh,event,road accident
8,"Two killed, four injured in Khulna road accident",2025-06-09 12:29:25,https://en.prothomalo.com/bangladesh/accident/u3nfbf5ycw,darogar bhita area near rupsha bridge,khulna,2,4,truck and easy-bike,head-on collision,Bangladesh,event,road accident
12,Marma girl's accident injury being propagated as communal murder,2025-01-18 17:15:50,https://en.prothomalo.com/bangladesh/ij8ukl3niq,chattogram,chattogram,0,1,bike,bike accident,Bangladesh,event,road accident
15,Four killed in two separate accidents on expressway,2025-01-03 11:19:06,https://en.prothomalo.com/bangladesh/accident/5akfsiu8uf,nimtala area in sirajdikhan upazila,munshiganj,2,5,bus and covered van,bus rammed into a parked covered van,Bangladesh,event,road accident
16,"Cause of accident, whereabouts of driver still unknown after 24 hrs",2024-12-28 14:09:42,https://en.prothomalo.com/bangladesh/local-news/d95k7greo0,dhaleshwari toll plaza on dhaka-mawa expressway,,6,0,"bus, cars",,Bangladesh,event,road accident
17,One killed as 10 vehicles collide in 4 accidents on Mawa expressway,2024-12-22 11:51:02,https://en.prothomalo.com/bangladesh/local-news/em33yk509m,dhaka-mawa expressway,srinagar upazila of munshiganj,1,15,"cars, trucks, motorcycles",low visibility amid dense fog,Bangladesh,event,road accident
18,Disinformation spreads in India about Shyamoli bus accident in Brahmanbaria,2024-12-04 11:48:35,https://en.prothomalo.com/bangladesh/mi7u26jp9c,dhaka-agartala-dhaka route,brahmanbaria,0,0,"bus, truck",deliberate collision,Bangladesh,event,road accident
20,JU student dies in battery run rickshaw accident on campus,2024-11-19 22:51:52,https://en.prothomalo.com/bangladesh/accident/cdqgoni80b,"jahangirnagar university, near the shaheed minar, adjacent to the new arts building",dhaka,1,0,battery-run rickshaw,,Bangladesh,event,road accident
21,Compliance to traffic rules can prevent road accidents,2024-11-18 23:11:08,https://en.prothomalo.com/bangladesh/accident/cacgtffvp5,brac learning centre in faridpur,faridpur,0,0,,not adhering to traffic rules,Bangladesh,event,road accident
24,Four of same family killed in Sirajganj road accident,2024-08-19 13:06:58,https://en.prothomalo.com/bangladesh/accident/o3r3r11xjp,hatikumrul-banpara highway near the hatikumrul area,sirajganj,4,1,truck and private car,head-on collision,Bangladesh,event,road accident
27,Motorcycles and easy bikes causing frequent road accidents: Quader,2024-06-19 17:13:52,https://en.prothomalo.com/bangladesh/accident/o7xqrgv8ld,secretariat,,0,0,"motorcycle, easy bike",reckless driving,Bangladesh,event,road accident
34,Poor people left out of road accident compensation,2024-05-06 14:08:09,https://en.prothomalo.com/bangladesh/accident/i17ct6bkqx,kanchan of rupganj,narayanganj,1,3,bhatbhati,,Bangladesh,event,road accident
35,Road accidents: Killing on the highways continues unabated,2024-04-26 15:54:27,https://en.prothomalo.com/bangladesh/accident/a3uemohepq,faridpur,faridpur,15,0,bus and small truck,"excessive speed, driver's drowsiness, an easy-bike in front of the bus, no fitness certificate for the bus, illegal passenger carrying by the truck, ruts and potholes on the road",Bangladesh,event,road accident
36,17 killed in separate road accidents including 9 in Sajek,2024-04-25 10:30:57,https://en.prothomalo.com/bangladesh/accident/v9yuz4e527,daripara area of baghaichari,rangamati,9,6,minitruck,driver lost control over its steering,Bangladesh,event,road accident
38,Motorbike accidents: 125 under treatment in same hospital in two days,2024-04-13 10:04:30,https://en.prothomalo.com/bangladesh/accident/j3fjw6ujz8,"shyamoli, dhaka",faridpur,0,1,"motorbike, nasimon","nasimon suddenly loomed before him, lost control",Bangladesh,event,road accident
39,5 including 4 women killed in Gopalganj road accident,2024-03-20 18:00:32,https://en.prothomalo.com/bangladesh/accident/p7zoa7y3hk,chagalchira-domarkandi road,gopalganj,5,0,"microbus, bus",collision between bus and microbus,Bangladesh,event,road accident
